 Absolute load value (%), Absolute throttle position (%), Ambient air temperature (F), Barometric pressure (inHg), Calculated load value (%), Commanded fuel rail pressure A (inHg), Engine coolant temperature (F), Engine RPM (RPM), Fuel level input (%), Fuel rail pressure (psi), Fuel/Air commanded equivalence ratio, Ignition timing advance for #1 cylinder (deg), Intake air temperature (F), Intake manifold absolute pressure (inHg), Long term fuel % trim - Bank 1 (%), Mass air flow rate (lb/min), Vehicle speed (MPH), Fuel rate (gal/hr), Instant fuel economy (MPG), Total fuel economy (MPG)
18.82353,12.54902,80.6,30.1207,30.98039,903.621,188.6,666.5,74.5098,498.9298,0.9056365,-4.5,84.2,14.46975,5.46875,0.302967,6.213712,0.2221734,27.96785,31.05439
24.31373,12.94118,80.6,30.1207,41.96078,1213.687,188.6,648.25,74.5098,628.0134,0.905606,-4,84.2,15.35565,5.46875,0.402192,4.97097,0.2949376,16.85431,31.05131
25.09804,12.94118,80.6,30.1207,40.78431,1160.533,188.6,704,74.5098,568.5479,0.905545,8.5,84.2,24.50998,8.59375,0.38367,3.106856,0.2813644,11.04211,31.04811
69.80392,32.15686,80.6,30.1207,90.19608,4113.543,188.6,1999.5,74.5098,2194.421,0.9034405,5.5,84.2,28.6442,8.59375,2.329803,3.106856,1.708676,1.818282,31.01669
90.19608,46.27451,80.6,30.1207,98.03922,4429.515,188.6,2528.5,74.5098,2169.765,0.9926835,7,84.2,28.9395,7.8125,5.261571,8.077826,3.867823,2.088468,30.95672
95.29412,68.23529,80.6,30.1207,99.21568,5362.666,188.6,3410.25,74.5098,2981.976,0.9896335,8,84.2,29.2348,7.8125,6.621615,14.29154,4.430001,3.22608,30.88673
96.47059,68.23529,80.6,30.1207,70.19608,2713.816,188.6,3847.25,74.5098,1634.575,0.989603,29.5,80.6,5.90602,8.59375,10.05612,19.88388,6.748494,2.946417,30.78793
12.54902,14.90196,80.6,30.1207,12.15686,885.903,188.6,2329,74.5098,548.2427,0.9939035,35,80.6,5.90602,8.59375,1.068984,22.36936,0.7173992,31.18119,30.78812
9.803922,13.72549,80.6,30.1207,11.37255,885.903,188.6,1697.5,74.5098,424.9606,0.991128,32,80.6,5.315418,5.46875,0.521262,20.50525,0.3483073,58.87115,30.79328
10.98039,11.37255,80.6,30.1207,12.54902,885.903,188.6,1048,74.5098,453.9681,1.000003,32.5,80.6,6.791923,5.46875,0.259308,15.53428,0.1737548,89.40345,30.79924
10.98039,11.37255,80.6,30.1207,20.39216,885.903,188.6,716.5,93.33334,433.6628,0.90524,-8,82.4,14.46975,8.59375,0.558306,9.941939,0.3707844,26.81326,30.79843
59.60784,28.23529,80.6,30.1207,87.84314,3511.129,188.6,1842.25,93.33334,2034.88,0.9027085,4.5,82.4,28.6442,8.59375,2.652615,6.835083,1.946082,3.512228,30.76027
87.45098,43.52941,80.6,30.1207,97.25491,4429.515,188.6,2198,93.33334,2213.276,0.9956725,5,82.4,29.5301,7.8125,4.623885,9.320568,3.401811,2.739884,30.70974
91.37255,52.54902,80.6,30.1207,98.82353,4429.515,188.6,2339,93.33334,2208.925,0.99125,4.5,82.4,29.2348,7.8125,5.87412,13.67017,3.918113,3.488967,30.64832
90.98039,59.21569,80.6,30.1207,99.60784,4429.515,188.6,2522.25,93.33334,2213.276,0.991555,6,80.6,29.5301,7.8125,5.59629,17.39839,3.749451,4.640251,30.59728
38.82353,9.411765,80.6,30.1207,17.64706,885.903,188.6,2173.5,93.33334,1079.081,0.9948795,36,80.6,5.90602,7.8125,3.703077,21.74799,2.480257,8.768444,30.56117
9.803922,13.72549,80.6,30.1207,11.37255,885.903,188.6,1744.5,93.33334,578.7006,0.989847,33.5,80.6,6.201321,5.46875,0.525231,21.74799,0.3506151,62.02812,30.56703
9.411765,12.94118,80.6,30.1207,12.54902,885.903,188.6,1072.75,93.33334,449.617,0.995642,26,80.6,7.382525,5.46875,0.414099,19.26251,0.2778349,69.33077,30.57119
14.5098,12.15686,80.6,30.1207,24.31373,885.903,188.6,646,93.33334,439.4644,0.9957945,11.5,82.4,11.81204,8.59375,0.289737,14.91291,0.1932642,77.16332,30.57985
18.03922,16.07843,80.6,30.1207,38.43137,2016.906,188.6,1141.5,93.33334,1163.203,0.99613,8.5,82.4,28.6442,8.59375,0.18522,9.320568,0.123529,75.45248,30.58811
68.23529,34.11765,80.6,30.1207,78.43137,4329.113,188.6,2052,60.39216,1991.368,0.993873,1.5,82.4,24.21468,8.59375,3.004533,10.56331,2.003142,5.273372,30.54903
10.58823,12.54902,80.6,30.1207,12.15686,885.903,188.6,1052.5,60.39216,493.1283,0.9956115,5.5,82.4,8.85903,8.59375,0.130977,14.29154,0.08752152,163.2917,30.56063
14.5098,12.15686,80.6,30.1207,23.52941,885.903,188.6,677,60.39216,449.617,0.995764,5,82.4,12.99324,8.59375,0.420714,9.941939,0.2806388,35.4261,30.56208
27.84314,18.03922,80.6,30.1207,58.03922,2090.731,188.6,1209.5,60.39216,1063.127,0.995459,20.5,82.4,28.3489,8.59375,1.132488,5.592341,0.7553146,7.403989,30.5444
68.62745,36.47059,80.6,30.1207,93.33334,4429.515,188.6,2107.25,60.39216,2213.276,0.9916465,4,82.4,30.1207,7.8125,2.496501,7.456454,1.665555,4.476858,30.51011
91.37255,50.58823,80.6,30.1207,98.82353,4429.515,188.6,2346.25,60.39216,2134.956,0.991311,4.5,82.4,28.9395,7.8125,4.503492,13.67017,3.016082,4.532425,30.44733
91.37255,58.82353,80.6,30.1207,99.60784,4429.515,188.6,2424.25,60.39216,2139.307,0.9915245,5,80.6,28.9395,7.8125,4.869963,18.64114,3.262619,5.713549,30.39905
