 Absolute load value (%), Absolute throttle position (%), Ambient air temperature (F), Barometric pressure (inHg), Calculated load value (%), Commanded fuel rail pressure A (inHg), Engine coolant temperature (F), Engine RPM (RPM), Fuel level input (%), Fuel rail pressure (psi), Fuel/Air commanded equivalence ratio, Ignition timing advance for #1 cylinder (deg), Intake air temperature (F), Intake manifold absolute pressure (inHg), Long term fuel % trim - Bank 1 (%), Mass air flow rate (lb/min), Vehicle speed (MPH), Fuel rate (gal/hr), Instant fuel economy (MPG), Total fuel economy (MPG)
18.82353,11.37255,64.4,29.8254,32.94118,900.668,192.2,560.75,70.98039,433.6628,0.9952455,2,78.8,12.69794,3.90625,0.256662,0,0.1712703,0,31.67207
18.82353,11.37255,64.4,29.8254,32.94118,888.856,192.2,551.25,70.98039,429.3117,0.9952455,3,78.8,12.40264,3.90625,0.236817,0,0.1580277,0,31.67037
18.82353,11.37255,64.4,29.8254,32.94118,894.762,192.2,561.5,70.98039,433.6628,0.9952455,2.5,78.8,12.40264,3.90625,0.23814,0,0.1589106,0,31.66849
18.82353,11.37255,64.4,29.8254,33.33333,888.856,192.2,538.25,70.98039,433.6628,0.9952455,4.5,78.8,12.40264,3.90625,0.255339,0,0.1703874,0,31.66685
18.82353,11.37255,64.4,29.8254,33.33333,903.621,192.2,559.25,70.98039,453.9681,0.9952455,5,78.8,12.69794,3.90625,0.242109,0,0.1615591,0,31.66527
19.60784,11.37255,64.4,29.8254,33.72549,918.3861,195.8,569.25,70.98039,443.8155,0.9952455,1,78.8,12.40264,3.90625,0.232848,0,0.1553792,0,31.66387
18.43137,11.37255,64.4,29.8254,32.94118,891.809,195.8,559,70.98039,429.3117,0.9952455,1.5,78.8,12.69794,3.90625,0.207711,0,0.1386053,0,31.66205
18.82353,11.37255,64.4,29.8254,32.94118,891.809,195.8,553.75,70.98039,449.617,0.9952455,2.5,78.8,12.69794,3.90625,0.252693,0,0.1686218,0,31.66043
18.82353,11.37255,64.4,29.8254,32.94118,885.903,195.8,543.25,70.98039,443.8155,0.9952455,4,78.8,12.40264,3.90625,0.252693,0,0.1686218,0,31.65874
18.82353,11.37255,64.4,29.8254,32.94118,888.856,195.8,549.75,70.98039,429.3117,0.9952455,3,78.8,12.40264,3.90625,0.247401,0,0.1650904,0,31.65719
18.82353,11.37255,64.4,29.8254,33.33333,894.762,195.8,562.5,70.98039,484.4261,0.9952455,4,78.8,14.46975,3.90625,0.242109,0,0.1615591,0,31.65536
31.76471,10.98039,64.4,29.8254,45.09804,1379.056,195.8,833,70.98039,697.6315,0.9933545,6,78.8,15.06035,4.6875,0.844074,0,0.5632497,0,31.64969
27.05882,15.29412,64.4,29.8254,42.7451,1455.834,195.8,927.5,70.98039,726.639,0.994971,14,78.8,18.30866,4.6875,0.478926,0.6213712,0.3201952,1.940601,31.64682
30.58824,14.5098,64.4,29.8254,39.60784,1423.351,195.8,1058.5,70.98039,671.5247,0.9924395,31,78.8,25.98649,4.6875,0.963144,1.864114,0.6428823,2.899619,31.64139
37.64706,20,64.4,29.8254,43.52941,1819.054,195.8,1423.25,70.98039,970.3025,0.9913415,31,78.8,28.05359,4.6875,1.475145,3.728227,0.9871459,3.776774,31.63091
52.15686,26.27451,64.4,29.8254,64.70588,3142.003,195.8,1901.25,60.39216,1515.644,0.992592,19.5,78.8,27.16769,12.5,2.140614,6.213712,1.434055,4.332967,31.6191
53.33333,26.66667,64.4,29.8254,60.39216,2967.775,195.8,2240.5,60.39216,1499.69,0.992226,18.5,78.8,25.10059,12.5,2.648646,9.941939,1.772164,5.610057,31.60298
59.60784,29.80392,64.4,29.8254,87.05882,3511.129,195.8,1703.75,60.39216,1778.163,0.9918295,2.5,77,28.9395,12.5,3.384234,13.04879,2.265168,5.76063,31.5838
81.96078,43.13726,64.4,29.8254,97.64706,3871.396,195.8,1836.75,60.39216,1971.063,0.9937205,3,77,29.8254,12.5,3.027024,16.15565,2.026887,7.970672,31.56702
54.90196,57.2549,64.4,29.8254,55.29412,2383.079,195.8,1992.25,60.39216,1054.424,0.9909755,36.5,77,30.1207,4.6875,4.659606,18.64114,3.114122,5.986001,31.54419
38.03922,32.15686,64.4,29.8254,46.66667,1978.517,195.8,1601.25,60.39216,935.4934,0.991555,34,77,26.57709,4.6875,1.448685,19.88388,0.9708714,20.48044,31.54089
35.29412,23.52941,64.4,29.8254,48.23529,2394.891,195.8,1577.5,60.39216,1216.867,0.99003,26.5,75.2,27.46299,4.6875,1.326969,21.12662,0.8887808,23.77034,31.53881
49.01961,24.70588,64.4,29.8254,57.64706,2492.34,195.8,1622.5,60.39216,1183.508,0.991433,28,75.2,25.98649,4.6875,2.004345,21.74799,1.344543,16.175,31.53165
43.13726,21.96078,64.4,29.8254,49.80392,2158.65,195.8,1683.25,60.39216,1029.768,0.991372,29,75.2,24.21468,4.6875,1.743714,22.99073,1.168053,19.68295,31.52747
34.11765,20,64.4,29.8254,41.56863,1845.631,195.8,1581.25,60.39216,935.4934,0.9909145,17,75.2,25.98649,4.6875,1.44207,23.6121,0.9660517,24.44187,31.52523
36.47059,20.39216,64.4,29.8254,47.05882,1928.316,197.6,1209.75,67.84314,974.6536,0.98942,28,75.2,27.46299,4.6875,1.345491,24.23348,0.901769,26.87326,31.52419
34.90196,9.411765,64.4,29.8254,41.96078,1349.526,197.6,1194.25,67.84314,687.4789,0.9908535,6,75.2,9.449632,4.6875,1.042524,24.85485,0.6997712,35.51854,31.52499
13.33333,9.411765,64.4,29.8254,15.68627,885.903,197.6,1114.5,67.84314,652.6698,1.000003,36,75.2,6.496622,3.90625,0.085995,24.23348,0.05763873,420.4373,31.53268
10.58823,10.58823,64.4,29.8254,14.90196,885.903,197.6,942,67.84314,671.5247,1.000003,31.5,75.2,6.201321,3.90625,0.175959,21.74799,0.1168586,186.1052,31.5384
10.98039,10.98039,64.4,29.8254,15.29412,885.903,197.6,820.5,67.84314,583.0517,1.000003,22,77,9.744933,3.90625,0.17199,16.77702,0.1142227,146.88,31.54274
14.90196,12.15686,64.4,29.8254,27.84314,891.809,197.6,639.75,67.84314,533.7389,0.9054535,-5,77,16.24155,3.90625,0.29106,8.077826,0.1932999,41.78908,31.54362
29.01961,13.33333,64.4,29.8254,48.23529,1399.727,197.6,652.25,67.84314,646.8683,0.905179,-4.5,77,15.06035,3.90625,0.510678,2.485485,0.3745688,6.635588,31.54042
24.70588,12.54902,64.4,29.8254,40.78431,1157.58,197.6,699.75,67.84314,612.0593,0.905179,4,77,14.76505,3.90625,0.378378,0,0.2776145,0,31.5365
30.19608,16.86275,64.4,29.8254,53.33333,2049.389,197.6,1407,67.84314,1366.255,0.905362,19.5,77,27.75829,4.6875,0.439236,0.6213712,0.3222657,1.928133,31.53333
65.09804,30.19608,64.4,29.8254,76.86275,4337.972,197.6,2324.5,67.84314,2223.428,0.901092,14,77,25.69119,4.6875,2.481948,6.213712,1.820627,3.412951,31.5057
65.4902,31.37255,64.4,29.8254,69.41177,4317.301,197.6,3004.75,60.39216,2204.574,0.9932325,-5.5,77,29.2348,12.5,4.48497,14.29154,3.30553,4.323524,31.45765
86.66666,46.66667,64.4,29.8254,98.43137,4429.515,197.6,2203.75,60.39216,2198.772,0.9944525,3,77,29.5301,12.5,4.37913,18.64114,2.928111,6.366266,31.42948
77.25491,34.11765,64.4,29.8254,65.09804,3248.311,197.6,2515.75,60.39216,1380.759,0.992409,16.5,75.2,24.80528,12.5,4.764123,22.99073,3.181629,7.226088,31.40197
40,26.66667,64.4,29.8254,43.52941,1978.517,197.6,1917,60.39216,929.6919,0.992409,30,75.2,26.57709,12.5,2.27556,25.47622,1.522819,16.72964,31.39121
27.84314,15.29412,64.4,29.8254,28.62745,1382.009,197.6,1888.25,60.39216,652.6698,0.993019,19,75.2,15.35565,4.6875,0.976374,26.71896,0.6533956,40.89248,31.39309
28.23529,17.2549,64.4,29.8254,33.33333,1382.009,197.6,1364.75,60.39216,681.6774,0.992226,38.5,75.2,20.96637,4.6875,1.28331,26.71896,0.8582715,31.13113,31.39291
27.84314,15.68627,64.4,29.8254,33.33333,1290.465,197.6,1354.5,60.39216,628.0134,0.992409,36.5,75.2,17.12746,4.6875,0.624456,26.71896,0.4179669,63.92602,31.39626
23.92157,14.90196,64.4,29.8254,29.01961,1122.144,197.6,1341.5,60.39216,543.8915,0.9939035,26.5,75.2,15.35565,4.6875,0.723681,27.34033,0.4842919,56.45425,31.40258
16.47059,9.411765,64.4,29.8254,16.07843,885.903,197.6,1281.5,60.39216,459.7696,0.9959165,29,75.2,6.496622,3.90625,0.287091,26.71896,0.1918342,139.2815,31.41027
10.58823,11.37255,64.4,29.8254,12.94118,885.903,197.6,1220,60.39216,468.4719,1.000003,34.5,75.2,5.90602,3.90625,0.23814,26.71896,0.1588035,168.2517,31.4177
10.19608,10.98039,64.4,29.8254,13.33333,885.903,197.6,1149.75,83.92157,484.4261,1.000003,34,77,5.90602,3.90625,0.23814,25.47622,0.1581545,161.0844,31.4252
10.19608,10.98039,64.4,29.8254,14.11765,885.903,197.6,1003.75,83.92157,493.1283,1.000003,33,77,6.201321,3.90625,0.214326,22.36936,0.142339,157.1555,31.43424
11.37255,10.98039,64.4,29.8254,14.11765,885.903,197.6,1097,83.92157,509.0825,1.000003,34,77,5.90602,3.90625,0.216972,18.64114,0.1440963,129.3658,31.44052
10.98039,10.58823,64.4,29.8254,16.86275,885.903,197.6,805.5,83.92157,503.2809,1.000003,15,77,7.973127,3.90625,0.201096,14.29154,0.1335527,107.0105,31.4453
13.72549,12.15686,64.4,29.8254,23.92157,885.903,197.6,709.25,83.92157,429.3117,0.9053315,-2,77,11.22144,3.90625,0.213003,11.18468,0.1414604,79.06581,31.44801
17.64706,12.94118,64.4,29.8254,34.5098,1012.882,197.6,673,83.92157,484.4261,0.9055755,-5.5,77,11.51674,3.90625,0.341334,8.699197,0.2503932,34.74214,31.44862
21.96078,13.33333,64.4,29.8254,40.39216,1154.627,197.6,649.25,83.92157,587.4028,0.905606,-3,77,14.46975,3.90625,0.325458,6.213712,0.2386827,26.03336,31.44763
25.09804,11.76471,64.4,29.8254,40.78431,1148.721,197.6,643.5,83.92157,568.5479,0.9056365,-1.5,77,14.46975,3.90625,0.427329,3.106856,0.3133818,9.913964,31.44536
24.31373,12.54902,64.4,29.8254,42.7451,1213.687,197.6,634.25,83.92157,583.0517,0.905179,-3,78.8,14.46975,3.90625,0.382347,1.864114,0.2803848,6.648412,31.44351
24.31373,12.54902,64.4,29.8254,40.78431,1139.862,197.6,633.25,83.92157,552.5938,0.905179,-3.5,78.8,14.17445,3.90625,0.353241,0,0.2591715,0,31.43872
23.92157,12.15686,64.4,29.8254,40,1128.05,197.6,639.75,70.98039,562.7464,0.905179,-2,78.8,14.46975,3.90625,0.336042,0,0.2465527,0,31.43631
23.13725,11.37255,64.4,29.8254,39.60784,1092.614,197.6,613,70.98039,527.9374,0.905179,-1.5,78.8,14.17445,3.90625,0.328104,0,0.2407286,0,31.43307
23.13725,12.15686,64.4,29.8254,39.60784,1086.708,197.6,598.75,70.98039,548.2427,0.905179,-3.5,78.8,14.76505,3.90625,0.34398,0,0.2523768,0,31.43011
23.13725,11.76471,64.4,29.8254,40,1098.52,197.6,578.5,70.98039,558.3953,0.905179,-3,78.8,14.76505,3.90625,0.30429,0,0.2232564,0,31.42686
23.13725,11.76471,64.4,29.8254,39.60784,1083.755,197.6,558.75,70.98039,552.5938,0.905179,-3.5,78.8,14.76505,3.90625,0.287091,0,0.2106375,0,31.42412
23.13725,11.76471,64.4,29.8254,40,1086.708,197.6,553.75,70.98039,552.5938,0.905179,-1.5,78.8,14.17445,3.90625,0.30429,0,0.2232564,0,31.42067
23.13725,11.76471,64.4,29.8254,40,1104.426,197.6,567.75,70.98039,533.7389,0.905179,-3,78.8,14.46975,3.90625,0.306936,0,0.2251977,0,31.41806
23.13725,11.76471,64.4,29.8254,39.60784,1086.708,197.6,570.25,70.98039,548.2427,0.905179,-2.5,78.8,14.76505,3.90625,0.287091,0,0.2106375,0,31.41493
23.13725,11.76471,64.4,29.8254,40.39216,1086.708,197.6,555,70.98039,523.5862,0.905179,-3.5,78.8,14.17445,3.90625,0.298998,0,0.2193737,0,31.41225
23.13725,11.76471,64.4,29.8254,39.60784,1060.131,197.6,568.25,70.98039,543.8915,0.9952455,0,78.8,14.17445,3.90625,0.280476,0,0.2057841,0,31.40959
22.35294,11.76471,64.4,29.8254,38.82353,1054.225,195.8,557.25,70.98039,527.9374,0.9952455,0,78.8,13.87915,3.90625,0.273861,0,0.1827472,0,31.4077
21.96078,11.76471,64.4,29.8254,38.82353,1048.319,195.8,556.75,70.98039,527.9374,0.9952455,0,78.8,14.17445,3.90625,0.296352,0,0.1977554,0,31.40485
22.35294,11.76471,64.4,29.8254,38.82353,1057.178,195.8,605,70.98039,509.0825,0.9952455,10.5,78.8,13.87915,3.90625,0.269892,0,0.1800987,0,31.40261
23.92157,12.54902,64.4,29.8254,40.39216,1163.486,195.8,697.75,70.98039,562.7464,0.9952455,1.5,78.8,14.46975,3.90625,0.338688,0,0.2260062,0,31.39956
24.70588,12.54902,64.4,29.8254,40.78431,1163.486,195.8,707.75,70.98039,587.4028,0.9952455,1.5,80.6,14.46975,3.90625,0.373086,1.242742,0.2489599,4.991737,31.3974
24.31373,12.54902,64.4,29.8254,39.21569,1133.956,195.8,698.75,70.98039,572.899,0.9959165,0.5,80.6,14.17445,3.90625,0.392931,2.485485,0.2622024,9.479259,31.39458
23.52941,12.54902,64.4,29.8254,39.60784,1116.238,195.8,654.25,70.98039,538.09,0.9958555,0,80.6,14.17445,3.90625,0.378378,2.485485,0.2523211,9.850482,31.39293
23.52941,12.15686,64.4,29.8254,39.60784,1107.379,195.8,621.75,70.98039,533.7389,0.9957335,4.5,80.6,14.17445,3.90625,0.355887,1.864114,0.2373376,7.854271,31.39096
23.92157,12.54902,64.4,29.8254,39.21569,1125.097,195.8,700.5,70.98039,538.09,0.9958555,4.5,80.6,14.17445,4.6875,0.367794,1.864114,0.2453083,7.599065,31.38913
32.54902,18.43137,64.4,29.8254,47.05882,1845.631,195.8,1312.25,70.98039,994.9589,0.99247,32.5,80.6,28.05359,4.6875,0.842751,2.485485,0.5620224,4.422394,31.38302
44.31372,24.31373,64.4,29.8254,52.54902,2288.583,195.8,1693.25,56.86274,1083.432,0.992958,27.5,80.6,27.16769,4.6875,1.588923,4.97097,1.063252,4.675251,31.37055
34.11765,17.2549,64.4,29.8254,39.21569,1919.457,195.8,1216.25,56.86274,989.1573,0.991677,26.5,80.6,28.6442,4.6875,1.324323,9.320568,0.8857552,10.52274,31.36207
69.01961,28.62745,64.4,29.8254,84.31373,2855.561,195.8,1459.75,56.86274,1345.95,0.992775,19,77,26.57709,4.6875,1.747683,11.18468,1.170424,9.556096,31.35147
54.11765,25.4902,64.4,29.8254,65.88235,3017.976,195.8,1848.75,56.86274,1485.186,0.992531,20,77,26.57709,4.6875,2.300697,16.77702,1.539073,10.90073,31.32686
54.90196,26.66667,64.4,29.8254,59.60784,2802.406,195.8,2079.75,56.86274,1396.713,0.992226,22.5,77,26.87239,12.5,2.507085,19.26251,1.677551,11.48252,31.3142
56.07843,29.01961,64.4,29.8254,72.54902,3508.176,195.8,1723.5,56.86274,1659.232,0.9930495,11.5,77,26.57709,12.5,2.668491,21.74799,1.7861,12.17624,31.29968
43.52941,17.2549,64.4,29.8254,39.21569,1621.203,195.8,1711,56.86274,652.6698,0.9923785,9,77,11.81204,4.6875,2.385369,23.6121,1.595274,14.80128,31.28989
18.43137,12.54902,64.4,29.8254,18.82353,885.903,195.8,1171.5,56.86274,449.617,0.9960995,38.5,77,13.58385,4.6875,0.586089,24.23348,0.3922265,61.7844,31.29525
49.01961,25.88235,64.4,29.8254,88.62745,2471.669,195.8,1264.25,56.86274,1292.286,0.9919515,-7,77,29.2348,12.5,2.456811,24.23348,1.638022,14.79435,31.28466
82.74509,40.39216,64.4,29.8254,96.86275,3959.986,195.8,1857.75,56.86274,2030.528,0.9937815,0.5,77,29.2348,12.5,2.739933,24.85485,1.834426,13.54912,31.27263
85.88235,48.62745,64.4,29.8254,99.21568,4429.515,197.6,2107.25,67.45098,2198.772,0.993263,2,75.2,29.8254,12.5,4.170096,26.71896,2.7868,9.587685,31.24699
89.41177,57.64706,64.4,29.8254,99.60784,4429.515,197.6,2305.5,67.45098,2198.772,0.991799,2.5,75.2,28.9395,12.5,5.777541,30.44719,3.863042,7.881661,31.20148
90.58823,57.64706,64.4,29.8254,99.60784,4429.515,197.6,2509.75,67.45098,2213.276,0.990823,4.5,75.2,29.5301,12.5,5.924394,33.55404,3.96708,8.458121,31.17285
90.98039,61.56863,64.4,29.8254,99.21568,4429.515,197.6,2746.75,67.45098,2139.307,0.9901825,6,75.2,28.9395,12.5,6.912675,36.03953,4.63341,7.778187,31.12873
93.72549,74.11765,64.4,29.8254,97.64706,4429.515,197.6,2917,67.45098,2149.459,0.9898165,6.5,73.4,25.69119,12.5,7.852005,39.76776,5.266426,7.551185,31.07587
48.23529,28.23529,64.4,29.8254,60,2764.017,197.6,2338.75,67.45098,1142.897,0.9912805,27,73.4,27.16769,12.5,3.655449,41.63187,2.452657,16.9742,31.062
57.64706,30.98039,64.4,29.8254,77.25491,4284.817,197.6,2164.75,67.45098,2139.307,0.991128,9.5,73.4,25.69119,12.5,2.517669,42.25324,1.686758,25.04997,31.05937
34.5098,19.21569,64.4,29.8254,32.15686,1777.712,197.6,1773.75,67.45098,900.6843,0.992592,23,73.4,27.16769,12.5,2.048004,44.73873,1.372308,32.60107,31.06077
44.70588,23.92157,64.4,29.8254,51.37255,2244.288,197.6,1579.5,67.45098,1009.463,0.9917685,37,73.4,23.62408,4.6875,1.698732,45.3601,1.136593,39.90885,31.06487
33.72549,14.11765,64.4,29.8254,34.5098,1411.539,197.6,1373.5,67.45098,548.2427,0.991189,28,73.4,12.99324,4.6875,1.326969,45.98147,0.8885894,51.74659,31.07334
16.86275,11.37255,64.4,29.8254,17.2549,885.903,197.6,1360.5,89.41177,449.617,0.995947,30.5,73.4,8.268428,4.6875,0.280476,46.60284,0.1879273,247.9833,31.08636
11.37255,11.37255,64.4,29.8254,15.29412,885.903,197.6,1344,89.41177,443.8155,0.9955505,33.5,73.4,5.90602,4.6875,0.443205,46.60284,0.2955419,157.6861,31.09742
10.19608,11.37255,64.4,29.8254,12.54902,885.903,197.6,1313.25,89.41177,464.1208,1.000003,34.5,75.2,5.610719,3.90625,0.220941,46.60284,0.1473885,316.1904,31.1182
10.19608,11.37255,64.4,29.8254,12.54902,885.903,197.6,1299.5,89.41177,478.6245,1.000003,34.5,75.2,5.610719,3.90625,0.244755,45.98147,0.1625477,282.8799,31.13597
10.19608,11.37255,64.4,29.8254,12.54902,885.903,197.6,1279.25,89.41177,488.7772,1.000003,35,75.2,5.610719,3.90625,0.231525,45.3601,0.1537613,295.0033,31.1486
10.58823,11.37255,64.4,29.8254,12.94118,885.903,197.6,1237,89.41177,498.9298,1.000003,34.5,75.2,5.610719,3.90625,0.232848,44.11736,0.1546399,285.2908,31.16203
10.19608,11.37255,64.4,29.8254,12.94118,885.903,197.6,1378.75,89.41177,509.0825,1.000003,35.5,77,5.610719,3.90625,0.246078,42.87461,0.1634263,262.3483,31.17707
10.19608,11.37255,64.4,29.8254,12.54902,885.903,197.6,1282.75,89.41177,519.2351,1.000003,34,77,5.315418,3.90625,0.250047,39.76776,0.1660622,239.4751,31.19619
10.19608,11.37255,64.4,29.8254,12.94118,885.903,197.6,1192.5,89.41177,523.5862,1.000003,34,77,5.610719,3.90625,0.244755,37.28227,0.1625477,229.3621,31.20852
10.58823,10.98039,64.4,29.8254,12.94118,885.903,197.6,1449,89.41177,533.7389,1.000003,36.5,77,5.020117,3.90625,0.203742,32.93267,0.1353099,243.3869,31.2236
10.58823,11.76471,64.4,29.8254,12.54902,885.903,194,1353,93.33334,543.8915,1.000003,34.5,78.8,5.315418,3.90625,0.261954,30.44719,0.1739699,175.0141,31.23876
9.803922,11.37255,64.4,29.8254,12.54902,885.903,194,1158.75,93.33334,548.2427,1.000003,33,78.8,5.610719,3.90625,0.22491,26.09759,0.1493681,174.7199,31.24732
9.803922,10.98039,64.4,29.8254,13.33333,885.903,194,1066.5,93.33334,552.5938,1.000003,34,78.8,5.90602,3.90625,0.220941,22.99073,0.1467322,156.685,31.25227
11.37255,10.98039,64.4,29.8254,14.11765,885.903,194,1006,93.33334,558.3953,1.000003,32,78.8,5.90602,3.90625,0.239463,18.01976,0.1590331,113.3083,31.25673
11.37255,17.64706,64.4,29.8254,27.05882,885.903,194,724.75,93.33334,449.617,0.905301,-5,78.8,11.81204,3.90625,0.433944,12.42742,0.2881926,43.12194,31.25809
28.23529,13.72549,64.4,29.8254,47.84314,1408.586,194,670.75,93.33334,716.4865,0.90463,-8.5,78.8,14.46975,3.90625,0.563598,4.349598,0.4134539,10.52015,31.25372
24.31373,13.33333,64.4,29.8254,41.17647,1293.418,194,723.75,93.33334,607.7081,0.905179,-1.5,78.8,15.35565,4.6875,0.363825,0,0.267099,0,31.24984
27.05882,14.90196,64.4,29.8254,37.2549,1237.311,194,1003.25,93.33334,583.0517,0.90463,24.5,78.8,17.42276,4.6875,0.627102,1.242742,0.4601023,2.701013,31.24426
23.92157,14.11765,64.4,29.8254,33.33333,1266.841,194,1052.75,93.33334,628.0134,0.905179,25.5,78.8,22.44288,4.6875,0.575505,3.728227,0.422502,8.824164,31.2401
35.68628,22.35294,64.4,29.8254,44.70588,2067.107,194,1609,93.33334,1063.127,0.9006955,29,78.8,27.46299,4.6875,1.237005,5.592341,0.9075857,6.161777,31.22938
42.7451,25.4902,64.4,29.8254,49.01961,2211.804,194,1712.5,63.92157,1524.347,0.8940465,1.5,78.8,28.6442,12.5,1.784727,8.077826,1.315965,6.138327,31.2186
82.74509,38.03922,64.4,29.8254,98.03922,2846.702,194,1474.75,63.92157,1470.683,0.9970755,0,78.8,29.2348,12.5,3.310146,11.80605,2.458882,4.80139,31.18846
56.47059,26.66667,64.4,29.8254,63.52941,2843.749,194,1693,63.92157,1361.904,0.993629,22.5,75.2,27.16769,4.6875,1.881306,14.29154,1.253089,11.40504,31.17991
48.62745,25.09804,64.4,29.8254,51.37255,2223.616,194,1903,63.92157,1048.623,0.9928665,34,75.2,27.46299,4.6875,2.16972,18.01976,1.450207,12.42565,31.16783
46.66667,19.60784,64.4,29.8254,47.05882,1934.222,194,1550.75,63.92157,796.2572,0.9929275,28,75.2,14.76505,4.6875,1.973916,19.88388,1.320348,15.05957,31.15861
12.94118,10.58823,64.4,29.8254,14.5098,885.903,194,1439.5,63.92157,459.7696,1.000003,37,75.2,5.315418,4.6875,0.082026,21.12662,0.05486365,385.075,31.16653
10.58823,11.37255,64.4,29.8254,12.54902,885.903,194,1318.75,63.92157,474.2734,1.000003,35,77,5.315418,3.90625,0.232848,19.88388,0.1546399,128.5818,31.17192
10.19608,10.98039,64.4,29.8254,12.94118,885.903,194,1239.25,63.92157,488.7772,1.000003,35,77,5.315418,3.90625,0.223587,18.64114,0.1484895,125.5384,31.17852
10.58823,14.11765,64.4,29.8254,14.11765,885.903,194,1210.5,63.92157,443.8155,1.000003,32,77,7.677826,4.6875,0.227556,17.39839,0.1511254,115.1255,31.1832
15.68627,14.11765,64.4,29.8254,21.96078,897.715,194,1192,63.92157,464.1208,0.9052095,33.5,77,14.17445,4.6875,0.439236,16.77702,0.2917072,57.51323,31.18589
21.96078,14.5098,64.4,29.8254,26.66667,924.2921,188.6,1183.5,70.98039,453.9681,0.9046605,28.5,77,8.85903,4.6875,0.699867,16.77702,0.5134724,32.67366,31.18612
11.37255,12.15686,64.4,29.8254,14.90196,885.903,188.6,1145.25,70.98039,439.4644,0.90524,33,77,7.677826,4.6875,0.285768,16.77702,0.209787,79.97168,31.19064
10.98039,11.76471,64.4,29.8254,14.11765,885.903,188.6,1105,70.98039,439.4644,0.90524,23.5,77,6.496622,3.90625,0.284445,16.15565,0.2086821,77.41751,31.19386
10.98039,10.58823,64.4,29.8254,14.5098,885.903,188.6,1015,70.98039,453.9681,1.000003,35,77,6.201321,3.90625,0.170667,15.53428,0.1252093,124.0665,31.19791
10.98039,10.58823,64.4,29.8254,16.47059,885.903,188.6,872.25,70.98039,464.1208,1.000003,29,78.8,6.496622,3.90625,0.191835,14.29154,0.1274022,112.1765,31.20138
15.68627,13.33333,64.4,29.8254,25.88235,885.903,188.6,841.25,70.98039,429.3117,0.9053925,3,78.8,9.449632,3.90625,0.779247,12.42742,0.5175166,24.01357,31.19993
15.68627,12.94118,64.4,29.8254,29.80392,942.0102,188.6,784.5,70.98039,523.5862,0.9054535,-1.5,78.8,15.06035,3.90625,0.333396,11.18468,0.2445537,45.73508,31.20106
25.09804,12.15686,64.4,29.8254,32.94118,1048.319,188.6,824.75,70.98039,558.3953,0.90463,-2.5,78.8,16.24155,3.90625,0.571536,8.077826,0.4192066,19.26932,31.19924
29.41176,14.5098,64.4,29.8254,46.66667,1514.894,188.6,827.75,70.98039,765.7993,0.9036235,-6.5,78.8,17.42276,3.90625,0.629748,4.97097,0.4623241,10.75213,31.19649
29.41176,14.5098,64.4,29.8254,45.4902,1455.834,188.6,804,70.98039,697.6315,0.905179,-4,78.8,15.94625,3.90625,0.615195,1.864114,0.4521432,4.122839,31.1924
27.05882,13.72549,64.4,29.8254,42.35294,1278.653,188.6,778,74.11765,607.7081,0.9045995,-4,78.8,15.35565,3.90625,0.5292,1.864114,0.388272,4.801051,31.18955
26.27451,13.33333,64.4,29.8254,42.35294,1213.687,188.6,736.25,74.11765,603.357,0.905179,-3.5,78.8,14.76505,3.90625,0.501417,2.485485,0.3681234,6.751771,31.18651
23.92157,12.94118,64.4,29.8254,38.82353,1119.191,188.6,721.5,74.11765,562.7464,0.9057585,-1,78.8,14.17445,3.90625,0.43659,2.485485,0.3203244,7.759274,31.18407
23.13725,12.94118,64.4,29.8254,38.03922,1089.661,188.6,718,74.11765,523.5862,0.9057585,0,78.8,13.28854,3.90625,0.42336,3.106856,0.3104188,10.00859,31.1816
22.35294,12.54902,64.4,29.8254,37.2549,1074.896,188.6,693,74.11765,519.2351,0.904203,0.5,78.8,13.58385,3.90625,0.387639,3.106856,0.2842273,10.93089,31.17989
23.13725,12.54902,64.4,29.8254,38.82353,1101.473,188.6,647,74.11765,533.7389,0.904325,-0.5,78.8,13.87915,3.90625,0.38367,3.106856,0.281801,11.025,31.17789
23.13725,12.54902,64.4,29.8254,38.43137,1092.614,188.6,708.25,74.11765,527.9374,0.996496,2,78.8,13.58385,3.90625,0.382347,2.485485,0.2807914,8.851712,31.176
23.13725,12.54902,64.4,29.8254,37.64706,1077.849,188.6,711,74.11765,548.2427,0.9966485,4.5,78.8,13.28854,3.90625,0.392931,2.485485,0.2618734,9.491169,31.17408
22.35294,12.54902,64.4,29.8254,37.2549,1071.943,188.6,684.75,74.11765,538.09,0.996679,2,78.8,13.58385,3.90625,0.359856,3.106856,0.2397935,12.95638,31.17272
22.7451,13.33333,64.4,29.8254,39.60784,1113.285,188.6,629,74.11765,558.3953,0.9964655,4.5,78.8,14.46975,3.90625,0.387639,1.864114,0.2582991,7.216881,31.17058
24.70588,12.15686,64.4,29.8254,40.39216,1157.58,190.4,702,70.98039,587.4028,0.9952455,1.5,80.6,14.17445,3.90625,0.328104,1.242742,0.2186754,5.683046,31.16895
23.92157,12.54902,64.4,29.8254,39.21569,1122.144,190.4,711,70.98039,562.7464,0.995886,2,80.6,14.17445,3.90625,0.387639,1.864114,0.2586711,7.206501,31.16632
23.52941,12.54902,64.4,29.8254,38.82353,1128.05,190.4,764.5,70.98039,562.7464,0.9959165,13,80.6,14.46975,4.6875,0.359856,2.485485,0.2399771,10.35717,31.16471
