Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Fuel rate (gal/hr),Instant fuel economy (MPG)
21.56863,15.29412,62.6,29.8254,25.09804,1027.647,149,1319.5,83.92157,474.2734,0.9950625,69.8,12.10734,7.8125,0.728973,38.52501,0.4865473,79.1804
17.64706,13.33333,62.6,29.8254,18.43137,885.903,149,1303.75,83.92157,453.9681,0.9960995,69.8,11.81204,7.8125,0.631071,37.90364,0.4211905,89.99169
41.56863,26.27451,62.6,29.8254,52.54902,2332.878,149,1326.5,83.92157,1247.325,0.9912195,69.8,27.75829,7.8125,1.578339,37.90364,1.052321,36.01909
56.47059,25.88235,62.6,29.8254,64.70588,2589.79,149,1336,83.92157,1292.286,0.993019,69.8,29.2348,7.8125,1.844262,38.52501,1.235673,31.17736
80.39216,24.31373,62.6,29.8254,57.64706,2129.12,149,1354.75,83.92157,870.2264,0.995886,69.8,8.85903,8.59375,2.329803,39.14639,1.558161,25.12345
12.15686,11.37255,62.6,29.8254,13.72549,885.903,149,1215.75,83.92157,712.1353,1.000003,69.8,5.90602,8.59375,0.089964,37.90364,0.05999427,631.7877
10.58823,11.37255,62.6,29.8254,12.94118,885.903,149,1108.5,83.92157,730.9902,1.000003,69.8,6.201321,8.59375,0.246078,34.17542,0.1634263,209.1182
11.37255,11.76471,62.6,29.8254,12.94118,885.903,152.6,1270,93.33334,741.1428,1.000003,69.8,5.610719,8.59375,0.187866,29.82582,0.1247663,239.0535
10.19608,11.37255,62.6,29.8254,13.33333,885.903,152.6,1167,93.33334,751.2955,1.000003,69.8,5.610719,8.59375,0.23814,23.6121,0.1581545,149.2977
11.37255,11.76471,62.6,29.8254,12.94118,885.903,152.6,1188.25,93.33334,757.097,1.000003,69.8,5.610719,8.59375,0.246078,18.64114,0.1634263,114.0645
10.58823,11.37255,62.6,29.8254,13.33333,885.903,152.6,1020.5,93.33334,761.4481,1.000003,69.8,6.201321,8.59375,0.22491,16.15565,0.1493681,108.16
11.37255,10.98039,62.6,29.8254,15.68627,885.903,152.6,892.25,93.33334,771.6008,1.000003,71.6,6.201321,8.59375,0.219618,13.67017,0.1458536,93.72527
12.15686,10.58823,62.6,29.8254,17.64706,885.903,152.6,791.25,93.33334,642.5172,1.000003,71.6,10.63084,8.59375,0.177282,11.80605,0.1177372,100.2746
15.68627,11.76471,62.6,29.8254,23.13725,885.903,152.6,694,93.33334,429.3117,0.905545,71.6,10.33554,8.59375,0.22491,11.18468,0.1493681,74.87997
16.86275,12.15686,62.6,29.8254,27.05882,885.903,152.6,644,93.33334,429.3117,0.9055145,71.6,11.22144,8.59375,0.279153,9.941939,0.2047376,48.55943
19.60784,13.33333,62.6,29.8254,33.72549,1042.412,152.6,648,93.33334,498.9298,0.905545,71.6,12.40264,8.59375,0.35721,8.699197,0.2619865,33.20475
20,12.15686,62.6,29.8254,30.98039,995.1644,152.6,663.25,93.33334,488.7772,0.905667,71.6,14.17445,8.59375,0.336042,6.213712,0.246453,25.21256
25.4902,13.33333,62.6,29.8254,41.17647,1252.076,152.6,653.75,89.41177,628.0134,0.9055755,71.6,15.06035,8.59375,0.473634,4.349598,0.3473162,12.52345
27.05882,13.33333,62.6,29.8254,42.7451,1311.136,152.6,653.75,89.41177,632.3646,0.9048435,71.6,15.65095,8.59375,0.433944,2.485485,0.3182436,7.810007
26.66667,12.94118,62.6,29.8254,42.7451,1290.465,152.6,648.5,89.41177,652.6698,0.905179,71.6,15.35565,8.59375,0.441882,0,0.3243273,0
25.88235,12.94118,62.6,29.8254,41.17647,1237.311,152.6,639,89.41177,583.0517,0.905179,71.6,15.06035,8.59375,0.422037,0,0.3096469,0
25.4902,12.94118,62.6,29.8254,40.78431,1216.64,152.6,627.5,89.41177,583.0517,0.905179,71.6,15.06035,8.59375,0.422037,0,0.3096469,0
25.4902,12.54902,62.6,29.8254,41.56863,1225.499,152.6,600.75,89.41177,587.4028,0.905179,71.6,14.76505,8.59375,0.415422,0,0.3047935,0
25.09804,12.54902,62.6,29.8254,41.96078,1213.687,152.6,581.25,89.41177,622.2119,0.905179,71.6,15.06035,8.59375,0.373086,0,0.2737317,0
25.4902,12.54902,62.6,29.8254,41.17647,1228.452,152.6,586.5,89.41177,583.0517,0.905179,71.6,15.35565,8.59375,0.366471,0,0.2688783,0
25.4902,12.54902,62.6,29.8254,41.56863,1210.734,152.6,588,89.41177,583.0517,0.905179,71.6,14.76505,8.59375,0.349272,0,0.2562595,0
