Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
0,0,0,0,0,0,0,0,0,0,0,0.9952455,0,0,0,0.295029,0,0,0.1968725,0
1.449,17.64706,12.15686,118.4,29.8254,31.76471,885.903,190.4,611.25,81.17647,433.6628,0.9952455,120.2,11.81204,3.125,0.295029,0,0,0.1968725,0
2.359,17.2549,11.76471,118.4,29.8254,31.37255,885.903,190.4,601.25,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.27783,0,0,0.1853957,0
3.103,17.64706,11.76471,118.4,29.8254,31.76471,885.903,190.4,609.25,81.17647,433.6628,0.9952455,120.2,11.51674,3.125,0.273861,0,0,0.1827472,0
3.995,17.64706,12.15686,118.4,29.8254,31.76471,885.903,190.4,601.75,81.17647,429.3117,0.9952455,120.2,11.81204,3.125,0.261954,0,0,0.1748016,0
5.264,17.2549,11.76471,118.4,29.8254,31.76471,885.903,190.4,611.25,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.259308,0,0,0.173036,0
6.247,17.64706,11.76471,118.4,29.8254,31.76471,885.903,190.4,605.75,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.292383,0,0,0.1951069,0
7.462,17.64706,11.76471,118.4,29.8254,30.98039,885.903,190.4,612,81.17647,443.8155,0.9952455,120.2,11.81204,3.125,0.292383,0,0,0.1951069,0
8.547,17.2549,11.76471,118.4,29.8254,31.37255,885.903,190.4,609.75,81.17647,443.8155,0.9952455,120.2,11.51674,3.125,0.25137,0,0,0.1677389,0
9.713,17.2549,11.76471,118.4,29.8254,30.98039,885.903,190.4,602,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.246078,0,0,0.1642076,0
10.866,17.2549,11.76471,118.4,29.8254,31.37255,885.903,190.4,611.25,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.261954,0,0,0.1748016,0
12.31,17.64706,11.76471,118.4,29.8254,31.37255,885.903,190.4,604.25,81.17647,449.617,0.9952455,120.2,11.51674,3.125,0.292383,0,0,0.1951069,0
13.285,17.2549,11.76471,118.4,29.8254,31.37255,885.903,190.4,604,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.257985,0,0,0.1721531,0
14.259,17.2549,11.76471,118.4,29.8254,30.58824,885.903,190.4,608.5,81.17647,449.617,0.9952455,120.2,11.81204,3.125,0.239463,0,0,0.1597934,0
15.407,17.64706,11.76471,118.4,29.8254,31.37255,885.903,190.4,615.25,81.17647,433.6628,0.9952455,120.2,11.51674,3.125,0.247401,0,0,0.1650904,0
16.592,17.2549,11.76471,118.4,29.8254,31.37255,885.903,190.4,614.75,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.284445,0,0,0.1898099,0
17.383,16.86275,11.76471,118.4,29.8254,30.98039,885.903,190.4,600,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.244755,0,0,0.1633248,0
19.019,17.2549,12.15686,118.4,29.8254,31.37255,885.903,190.4,605.5,81.17647,443.8155,0.9952455,120.2,11.51674,3.125,0.244755,0,0,0.1633248,0
20.285,16.86275,11.76471,118.4,29.8254,30.58824,885.903,190.4,606.5,81.17647,429.3117,0.9952455,120.2,11.51674,3.125,0.272538,0,0,0.1818643,0
