Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.248,17.64706,11.37255,59,29.8254,30.19608,885.903,183.2,624.25,67.05882,429.3117,1.009306,93.2,11.22144,-2.34375,0.227556,0,0,0.1497325,0
2.004,17.2549,11.76471,59,29.8254,28.23529,900.668,183.2,658,67.05882,468.4719,1.009306,93.2,15.94625,-2.34375,0.21168,0,0,0.1392861,0
2.905,24.70588,12.54902,59,29.8254,39.60784,1346.573,183.2,692.75,67.05882,697.6315,1.009306,93.2,17.12746,-2.34375,0.134946,0,0,0.08879486,0
3.614,32.54902,15.29412,59,29.8254,58.43137,1948.987,183.2,768,67.05882,999.31,1.009306,93.2,20.37577,-2.34375,0.579474,0,0,0.3812956,0
5.337,37.2549,14.11765,59,29.8254,57.2549,1816.101,183.2,761,67.05882,884.7302,1.009306,93.2,18.30866,-2.34375,0.572859,0,0,0.3769429,0
6.207,33.33333,14.11765,59,29.8254,52.54902,1674.357,183.2,761.5,67.05882,831.0662,1.009306,93.2,18.30866,-2.34375,0.563598,0,0,0.3708491,0
7.242,32.54902,14.11765,59,29.8254,51.37255,1641.874,183.2,758,67.05882,820.9136,1.009306,93.2,18.30866,-2.34375,0.534492,0,0,0.3516973,0
8.174,32.15686,14.11765,59,29.8254,50.98039,1612.344,183.2,758.5,67.05882,771.6008,1.009306,93.2,18.01336,-2.34375,0.522585,0,0,0.3438624,0
9.197,31.76471,13.72549,59,29.8254,51.37255,1597.578,183.2,726.25,67.05882,806.4099,1.009306,93.2,18.01336,-2.34375,0.526554,1.242742,1.214801564,0.3464741,3.586827
9.998,31.76471,13.72549,59,29.8254,51.37255,1597.578,183.2,723.5,67.05882,771.6008,1.009306,93.2,17.71806,-2.34375,0.510678,1.864114,0.775745318,0.3360276,5.547501
11.095,31.76471,13.72549,59,29.8254,50.98039,1591.672,183.2,719.5,67.45098,791.9061,0.9917685,93.2,16.53686,-2.34375,0.519939,2.485485,0.56642753,0.3421214,7.264921
11.977,24.31373,14.90196,59,29.8254,39.21569,1104.426,183.2,735,67.45098,533.7389,0.99491,93.2,13.58385,-2.34375,0.246078,2.485485,0,0.1647833,15.08335
