Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Fuel rate (gal/hr),Instant fuel economy (MPG)
54.018,11.37255,10.98039,62.6,29.8254,15.68627,885.903,152.6,892.25,93.33334,771.6008,1.000003,71.6,6.201321,8.59375,0.219618,13.67017,0.1458536,93.72527
54.961,12.15686,10.58823,62.6,29.8254,17.64706,885.903,152.6,791.25,93.33334,642.5172,1.000003,71.6,10.63084,8.59375,0.177282,11.80605,0.1177372,100.2746
55.91,15.68627,11.76471,62.6,29.8254,23.13725,885.903,152.6,694,93.33334,429.3117,0.905545,71.6,10.33554,8.59375,0.22491,11.18468,0.1493681,74.87997
57.334,16.86275,12.15686,62.6,29.8254,27.05882,885.903,152.6,644,93.33334,429.3117,0.9055145,71.6,11.22144,8.59375,0.279153,9.941939,0.2047376,48.55943
58.426,19.60784,13.33333,62.6,29.8254,33.72549,1042.412,152.6,648,93.33334,498.9298,0.905545,71.6,12.40264,8.59375,0.35721,8.699197,0.2619865,33.20475
59.302,20,12.15686,62.6,29.8254,30.98039,995.1644,152.6,663.25,93.33334,488.7772,0.905667,71.6,14.17445,8.59375,0.336042,6.213712,0.246453,25.21256
60.315,25.4902,13.33333,62.6,29.8254,41.17647,1252.076,152.6,653.75,89.41177,628.0134,0.9055755,71.6,15.06035,8.59375,0.473634,4.349598,0.3473162,12.52345
61.248,27.05882,13.33333,62.6,29.8254,42.7451,1311.136,152.6,653.75,89.41177,632.3646,0.9048435,71.6,15.65095,8.59375,0.433944,2.485485,0.3182436,7.810007
62.325,26.66667,12.94118,62.6,29.8254,42.7451,1290.465,152.6,648.5,89.41177,652.6698,0.905179,71.6,15.35565,8.59375,0.441882,0,0.3243273,0
63.212,25.88235,12.94118,62.6,29.8254,41.17647,1237.311,152.6,639,89.41177,583.0517,0.905179,71.6,15.06035,8.59375,0.422037,0,0.3096469,0
64.225,25.4902,12.94118,62.6,29.8254,40.78431,1216.64,152.6,627.5,89.41177,583.0517,0.905179,71.6,15.06035,8.59375,0.422037,0,0.3096469,0
65.296,25.4902,12.54902,62.6,29.8254,41.56863,1225.499,152.6,600.75,89.41177,587.4028,0.905179,71.6,14.76505,8.59375,0.415422,0,0.3047935,0
66.546,25.09804,12.54902,62.6,29.8254,41.96078,1213.687,152.6,581.25,89.41177,622.2119,0.905179,71.6,15.06035,8.59375,0.373086,0,0.2737317,0
67.484,25.4902,12.54902,62.6,29.8254,41.17647,1228.452,152.6,586.5,89.41177,583.0517,0.905179,71.6,15.35565,8.59375,0.366471,0,0.2688783,0
68.574,25.4902,12.54902,62.6,29.8254,41.56863,1210.734,152.6,588,89.41177,583.0517,0.905179,71.6,14.76505,8.59375,0.349272,0,0.2562595,0
69.766,25.88235,12.54902,62.6,29.8254,41.96078,1219.593,152.6,589,89.41177,622.2119,0.905179,71.6,15.35565,8.59375,0.382347,0,0.2805265,0
71.161,25.4902,12.54902,62.6,29.8254,41.17647,1201.875,154.4,586.25,81.17647,597.5555,0.9952455,71.6,15.35565,8.59375,0.373086,0,0.2737317,0
72.323,25.09804,12.54902,62.6,29.8254,41.56863,1216.64,154.4,589,81.17647,617.8608,0.9952455,71.6,15.06035,8.59375,0.387639,0,0.2586711,0
73.323,25.4902,12.15686,62.6,29.8254,41.56863,1204.828,154.4,584.5,81.17647,612.0593,0.9952455,71.6,15.35565,8.59375,0.336042,0,0.2242405,0
74.433,25.4902,12.15686,62.6,29.8254,41.96078,1204.828,154.4,585.75,81.17647,612.0593,0.9952455,71.6,15.35565,8.59375,0.361179,0,0.2410144,0
75.613,25.4902,12.15686,62.6,29.8254,41.17647,1210.734,154.4,578,81.17647,617.8608,0.9952455,71.6,15.35565,8.59375,0.349272,0,0.2330688,0
76.531,25.4902,12.15686,62.6,29.8254,42.35294,1240.264,154.4,594,81.17647,597.5555,0.9952455,71.6,15.35565,8.59375,0.363825,0,0.24278,0
77.689,25.88235,12.15686,62.6,29.8254,41.96078,1219.593,154.4,587.75,81.17647,583.0517,0.9952455,71.6,15.35565,8.59375,0.329427,0,0.2198263,0
78.88,25.4902,12.15686,62.6,29.8254,41.56863,1201.875,154.4,582.25,81.17647,603.357,0.9952455,71.6,15.35565,8.59375,0.346626,0,0.2313032,0
80.152,25.4902,12.15686,62.6,29.8254,41.17647,1222.546,154.4,587.5,81.17647,622.2119,0.9952455,71.6,15.35565,8.59375,0.322812,0,0.2154121,0
81.118,25.09804,12.15686,62.6,29.8254,40.78431,1172.345,154.4,585.5,81.17647,593.2043,0.9952455,71.6,15.35565,8.59375,0.33075,0,0.2207091,0
82.126,24.70588,12.15686,62.6,29.8254,40.39216,1184.157,154.4,585,81.17647,607.7081,0.9952455,71.6,15.35565,8.59375,0.313551,0,0.2092323,0
83.252,25.09804,12.15686,62.6,29.8254,40.39216,1178.251,154.4,586.25,81.17647,568.5479,0.9952455,71.6,15.06035,8.59375,0.336042,0,0.2242405,0
84.588,24.31373,12.15686,62.6,29.8254,40.39216,1169.392,154.4,585.5,81.17647,583.0517,0.9952455,71.6,14.76505,8.59375,0.308259,0,0.2057009,0
85.481,24.31373,12.15686,62.6,29.8254,39.60784,1163.486,154.4,582.75,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.322812,0,0.2154121,0
86.822,24.31373,12.15686,62.6,29.8254,40,1160.533,154.4,582.75,81.17647,593.2043,0.9952455,71.6,15.06035,8.59375,0.329427,0,0.2198263,0
87.986,24.31373,12.15686,62.6,29.8254,39.60784,1154.627,154.4,576.25,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.306936,0,0.2048181,0
89.127,25.09804,12.15686,62.6,29.8254,40.39216,1190.063,154.4,594.75,81.17647,572.899,0.9952455,71.6,15.35565,8.59375,0.437913,0,0.2922189,0
90.224,24.70588,12.15686,62.6,29.8254,40.39216,1175.298,154.4,584.75,81.17647,562.7464,0.9952455,71.6,15.06035,8.59375,0.309582,0,0.2065838,0
91.138,24.70588,12.15686,62.6,29.8254,40,1166.439,154.4,587.25,81.17647,587.4028,0.9952455,71.6,14.76505,8.59375,0.338688,0,0.2260062,0
92.221,25.09804,12.15686,62.6,29.8254,40.78431,1181.204,154.4,585.75,81.17647,568.5479,0.9952455,71.6,15.06035,8.59375,0.314874,0,0.2101151,0
93.555,24.70588,12.15686,62.6,29.8254,40.39216,1172.345,154.4,594.5,81.17647,597.5555,0.9952455,71.6,15.06035,8.59375,0.325458,0,0.2171778,0
94.647,24.31373,12.15686,62.6,29.8254,39.60784,1154.627,154.4,575.25,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.306936,0,0.2048181,0
95.921,24.31373,12.15686,62.6,29.8254,39.60784,1160.533,154.4,589.25,81.17647,593.2043,0.9952455,71.6,15.06035,8.59375,0.338688,0,0.2260062,0
97.037,24.70588,12.15686,62.6,29.8254,40,1160.533,154.4,587.75,81.17647,593.2043,0.9952455,71.6,14.76505,8.59375,0.313551,0,0.2092323,0
98.231,24.31373,12.15686,62.6,29.8254,40,1160.533,154.4,583,81.17647,558.3953,0.9952455,71.6,14.46975,8.59375,0.328104,0,0.2189435,0
99.221,24.31373,12.15686,62.6,29.8254,39.60784,1160.533,154.4,584.75,81.17647,552.5938,0.9952455,71.6,14.76505,8.59375,0.328104,0,0.2189435,0
100.409,24.31373,12.15686,62.6,29.8254,40,1145.768,154.4,591.25,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.313551,0,0.2092323,0
101.625,24.31373,12.15686,62.6,29.8254,40,1154.627,154.4,583,81.17647,552.5938,0.9952455,71.6,14.46975,8.59375,0.334719,0,0.2233576,0
102.77,24.31373,12.15686,62.6,29.8254,39.60784,1142.815,154.4,580.5,81.17647,548.2427,0.9952455,71.6,15.06035,8.59375,0.298998,0,0.199521,0
103.765,24.31373,12.15686,62.6,29.8254,39.60784,1145.768,154.4,590,81.17647,548.2427,0.9952455,71.6,15.06035,8.59375,0.322812,0,0.2154121,0
104.831,24.31373,12.15686,62.6,29.8254,39.60784,1139.862,154.4,581.25,81.17647,583.0517,0.9952455,71.6,14.46975,8.59375,0.33075,0,0.2207091,0
105.971,24.31373,12.15686,62.6,29.8254,39.21569,1139.862,154.4,578.75,81.17647,552.5938,0.9952455,71.6,14.76505,8.59375,0.30429,0,0.2030524,0
106.972,24.31373,12.15686,62.6,29.8254,39.60784,1151.674,154.4,589,81.17647,562.7464,0.9952455,71.6,14.76505,8.59375,0.333396,0,0.2224748,0
107.871,24.31373,12.15686,62.6,29.8254,39.60784,1157.58,154.4,574.75,81.17647,587.4028,0.9952455,71.6,14.76505,8.59375,0.31752,0,0.2118808,0
108.88,24.31373,12.15686,62.6,29.8254,40,1151.674,154.4,579,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.322812,0,0.2154121,0
109.847,24.31373,12.15686,62.6,29.8254,40,1151.674,154.4,582.25,81.17647,558.3953,0.9952455,71.6,14.76505,8.59375,0.329427,0,0.2198263,0
110.951,24.31373,12.15686,62.6,29.8254,40,1154.627,154.4,592,81.17647,552.5938,0.9952455,71.6,15.35565,8.59375,0.309582,0,0.2065838,0
111.962,24.70588,12.15686,62.6,29.8254,40.39216,1166.439,154.4,584.5,81.17647,593.2043,0.9952455,71.6,14.76505,8.59375,0.341334,0,0.2277718,0
112.952,24.70588,12.15686,62.6,29.8254,40,1166.439,154.4,592,81.17647,593.2043,0.9952455,71.6,14.76505,8.59375,0.322812,0,0.2154121,0
113.968,24.31373,12.15686,62.6,29.8254,39.21569,1154.627,154.4,576.5,81.17647,583.0517,0.9952455,71.6,14.46975,8.59375,0.336042,0,0.2242405,0
115.228,24.31373,12.15686,62.6,29.8254,39.60784,1151.674,156.2,576.75,81.17647,552.5938,0.9952455,73.4,15.06035,8.59375,0.314874,0,0.2101151,0
116.247,24.31373,12.15686,62.6,29.8254,39.60784,1142.815,156.2,573.75,81.17647,552.5938,0.9952455,73.4,14.76505,8.59375,0.301644,0,0.2012867,0
117.321,24.70588,12.15686,62.6,29.8254,39.60784,1148.721,156.2,588.5,81.17647,583.0517,0.9952455,73.4,15.06035,8.59375,0.334719,0,0.2233576,0
118.442,23.92157,12.15686,62.6,29.8254,39.21569,1139.862,156.2,579,81.17647,543.8915,0.9952455,73.4,14.76505,8.59375,0.296352,0,0.1977554,0
119.5,24.31373,12.15686,62.6,29.8254,39.21569,1154.627,156.2,645.25,81.17647,543.8915,0.9952455,73.4,15.06035,7.8125,0.308259,0,0.2057009,0
120.526,40.78431,19.60784,62.6,29.8254,52.94118,2202.946,156.2,1337.75,81.17647,1177.706,0.9920125,73.4,27.16769,7.8125,1.333584,0,0.8898993,0
121.569,50.98039,23.92157,62.6,29.8254,57.2549,2696.098,156.2,1728.5,81.17647,1430.072,0.9921955,73.4,27.16769,7.8125,1.721223,4.349598,1.152314,3.774666
122.608,56.86274,27.05882,62.6,29.8254,63.52941,3785.759,156.2,2268,81.17647,1841.979,0.9919515,73.4,25.39589,7.8125,2.693628,8.699197,1.802981,4.824898
123.709,73.72549,36.47059,62.6,29.8254,96.47059,3587.907,156.2,1698,81.17647,1778.163,0.9954285,69.8,29.2348,7.8125,3.74409,13.04879,2.506724,5.205517
124.6,90.58823,51.37255,62.6,29.8254,98.82353,4335.019,156.2,1989.75,81.17647,2145.108,0.9940255,69.8,28.9395,7.8125,4.417497,17.39839,2.947249,5.903265
125.676,90.58823,36.07843,62.6,29.8254,89.01961,4429.515,156.2,2356.25,67.45098,1698.392,0.9917685,69.8,23.91938,7.8125,4.686066,21.12662,3.130845,6.747898
126.652,57.2549,28.23529,62.6,29.8254,67.05882,3954.08,156.2,1930.25,67.45098,1876.788,0.9936595,69.8,27.16769,7.8125,3.286332,24.85485,2.200654,11.2943
127.879,63.52941,27.84314,62.6,29.8254,63.13726,3280.794,156.2,2001.75,67.45098,1583.812,0.993629,68,27.16769,7.8125,3.210921,26.71896,2.146064,12.45022
128.837,54.90196,27.05882,62.6,29.8254,58.43137,2870.326,156.2,2157.5,67.45098,1579.461,0.993751,68,26.87239,7.8125,2.713473,29.20445,1.813643,16.10264
129.782,65.88235,28.23529,62.6,29.8254,78.03922,3150.862,156.2,1564.5,67.45098,1579.461,0.993446,68,27.46299,7.8125,3.102435,30.44719,2.073365,14.68491
130.953,50.19608,22.7451,62.6,29.8254,48.23529,2167.509,156.2,1601.5,67.45098,935.4934,0.9931105,68,28.3489,7.8125,2.092986,32.3113,1.399177,23.09307
132.129,53.72549,25.4902,62.6,29.8254,61.17647,2846.702,156.2,1665.75,67.45098,1321.294,0.9928665,68,26.57709,7.8125,2.021544,32.93267,1.351874,24.36075
133.254,36.86274,17.64706,62.6,29.8254,36.86274,1494.223,156.2,1675.5,67.45098,681.6774,0.99186,68,20.37577,7.8125,1.4553,34.17542,0.9734471,35.10762
134.293,41.56863,23.52941,62.6,29.8254,49.41177,2303.348,156.2,1317.5,67.45098,1276.332,0.9906705,68,28.9395,7.8125,1.674918,34.17542,1.121486,30.47333
135.297,74.5098,29.80392,62.6,29.8254,97.25491,2515.965,156.2,1257.25,67.45098,1242.973,0.99552,68,28.9395,7.8125,2.210733,34.79679,1.482033,23.4791
136.537,74.11765,23.92157,62.6,29.8254,74.5098,2450.998,159.8,1280.25,83.92157,1013.814,0.9957335,68,28.3489,7.8125,2.511054,36.03953,1.675162,21.51406
137.557,41.17647,21.56863,62.6,29.8254,48.23529,2099.59,159.8,1302,83.92157,1044.272,0.99186,68,26.57709,7.8125,1.316385,36.6609,0.8779919,41.7554
138.581,40.78431,23.13725,62.6,29.8254,51.37255,2250.194,159.8,1296.25,83.92157,1148.699,0.9919515,68,27.16769,7.8125,1.275372,37.28227,0.8539593,43.65813
139.701,43.92157,20,62.6,29.8254,49.41177,2075.966,159.8,1300,83.92157,905.0355,0.9925005,68,22.73818,7.8125,1.411641,37.28227,0.9451147,39.44735
140.804,27.05882,11.37255,62.6,29.8254,25.88235,992.2114,159.8,1305.25,83.92157,464.1208,0.9923175,68,12.40264,7.8125,0.510678,37.90364,0.3417174,110.921
141.877,18.82353,13.33333,62.6,29.8254,22.35294,1077.849,159.8,1321.5,83.92157,638.166,0.995581,68,23.32878,7.8125,0.605934,37.90364,0.4055322,93.46642
143.014,41.56863,26.66667,62.6,29.8254,51.76471,2412.609,159.8,1337.75,83.92157,1316.943,0.9914025,68,28.6442,7.8125,1.784727,37.28227,1.190545,31.31529
144.035,75.29412,31.76471,62.6,29.8254,94.11765,2669.521,159.8,1334.5,83.92157,1292.286,0.9943305,68,30.1207,7.8125,2.120769,37.90364,1.420673,26.68007
145.248,85.88235,38.82353,62.6,29.8254,98.03922,2734.487,159.8,1375.25,83.92157,1376.408,0.9948185,68,30.416,7.8125,2.059911,38.52501,1.375841,28.00106
146.397,73.33334,25.88235,62.6,29.8254,56.47059,2518.917,159.8,1405.25,83.92157,1073.279,0.994422,68,21.26167,7.8125,2.339064,40.38913,1.561525,25.86518
147.489,27.45098,12.15686,62.6,29.8254,26.66667,1036.506,159.8,1433.25,74.5098,443.8155,0.992531,68,9.154331,7.8125,0.686637,41.0105,0.4585716,89.43096
148.601,12.54902,13.33333,62.6,29.8254,14.11765,885.903,159.8,1459.5,74.5098,513.4336,0.995642,68,13.28854,7.8125,0.390285,41.63187,0.261149,159.418
149.668,22.35294,15.68627,62.6,29.8254,25.4902,1077.849,159.8,1474.5,74.5098,513.4336,0.994361,68,12.40264,7.8125,0.837459,42.25324,0.558613,75.63956
150.673,20,14.11765,62.6,29.8254,20.78431,885.903,159.8,1486.5,74.5098,433.6628,0.9956115,68,7.677826,7.8125,0.72765,42.87461,0.485992,88.22082
151.697,12.15686,12.94118,62.6,29.8254,14.11765,885.903,159.8,1281,74.5098,433.6628,0.995703,68,7.382525,7.8125,0.460404,43.49598,0.3071142,141.6281
153,11.37255,12.54902,62.6,29.8254,13.72549,885.903,159.8,1292,74.5098,429.3117,0.99552,68,7.677826,7.8125,0.350595,44.11736,0.2338442,188.6613
154.539,13.72549,13.33333,62.6,29.8254,17.2549,885.903,159.8,1292,74.5098,449.617,0.9954895,68,13.28854,7.8125,0.444528,44.11736,0.2965513,148.7681
155.472,25.4902,19.21569,62.6,29.8254,32.54902,1476.505,159.8,1309,74.5098,870.2264,0.9939645,68,26.87239,7.8125,0.668115,44.11736,0.4457232,98.97927
156.522,40.39216,22.7451,62.6,29.8254,46.66667,2075.966,159.8,1292.5,74.5098,1073.279,0.991128,68,28.3489,7.8125,1.562463,44.11736,1.043974,42.25907
157.785,40.39216,22.7451,62.6,29.8254,45.4902,1946.034,159.8,1291.25,74.5098,944.1957,0.991494,68,25.98649,7.8125,1.225098,44.11736,0.8209028,53.74248
159.086,35.29412,18.82353,62.6,29.8254,40.78431,1798.383,165.2,1294.5,74.90196,880.3791,0.991128,68,25.98649,7.8125,1.049139,44.11736,0.7027383,62.77921
160.32,28.62745,9.411765,62.6,29.8254,29.41176,1066.037,165.2,1280,74.90196,464.1208,0.990884,68,9.154331,7.8125,0.592704,44.11736,0.3971539,111.0838
161.528,11.37255,12.54902,62.6,29.8254,13.33333,885.903,165.2,1261.25,74.90196,429.3117,0.995642,68,9.154331,7.8125,0.283122,43.49598,0.1897586,229.2175
162.601,14.11765,10.98039,62.6,29.8254,13.33333,885.903,165.2,1223.75,74.90196,439.4644,0.995764,68,10.92614,7.8125,0.378378,42.87461,0.2523907,169.874
164.096,15.29412,14.11765,62.6,29.8254,18.82353,885.903,165.2,1432.25,74.90196,453.9681,0.9957945,69.8,7.973127,7.8125,0.504063,42.25324,0.3361856,125.6843
164.929,23.52941,15.29412,62.6,29.8254,27.45098,1139.862,165.2,1340.5,74.90196,568.5479,0.994239,69.8,19.48987,7.8125,1.140426,39.14639,0.7605855,51.46875
165.955,36.07843,26.27451,62.6,29.8254,63.52941,2583.884,165.2,1294.75,74.90196,1306.79,0.9907925,69.8,29.5301,7.8125,1.369305,37.90364,0.9146608,41.44011
167.054,82.74509,36.47059,62.6,29.8254,99.21568,3797.571,165.2,1749.75,74.90196,1911.597,0.995703,69.8,29.2348,7.8125,2.177658,36.6609,1.45968,25.11571
168.187,87.45098,47.45098,62.6,29.8254,98.82353,3797.571,165.2,1799.5,74.90196,1946.406,0.9945135,68,29.5301,7.8125,4.324887,36.6609,2.884667,12.70889
169.127,90.19608,58.03922,62.6,29.8254,99.60784,4057.436,165.2,1876.75,74.90196,2040.681,0.992592,68,29.5301,7.8125,5.170284,37.90364,3.452665,10.97808
170.273,51.76471,25.4902,62.6,29.8254,49.01961,2309.254,165.2,1902.5,89.41177,1093.585,0.9909145,68,28.05359,7.8125,2.848419,38.52501,1.905828,20.21432
171.382,44.31372,25.09804,62.6,29.8254,47.45098,2276.771,165.2,1937.25,89.41177,1124.042,0.991494,68,26.87239,7.8125,2.078433,39.14639,1.392998,28.10225
172.559,41.17647,24.31373,62.6,29.8254,45.09804,2294.489,165.2,1744.5,89.41177,1345.95,0.9913415,66.2,26.57709,7.8125,2.020221,39.76776,1.353192,29.38811
