Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
0,0,0,0,0,0,0,0,0,0,0,0.9952455,0,0,0,0.452466,0,0,0.3019301,0
1.416,24.31373,12.94118,62.6,29.8254,40.78431,1160.533,186.8,696.5,74.5098,562.7464,0.9952455,71.6,14.76505,-1.5625,0.439236,0,0,0.2931017,0
2.484,24.70588,12.94118,62.6,29.8254,41.17647,1178.251,186.8,694.75,74.5098,568.5479,0.9952455,71.6,14.46975,-1.5625,0.400869,0,0,0.2674995,0
3.296,25.09804,12.94118,62.6,29.8254,41.17647,1160.533,186.8,707.25,74.5098,562.7464,0.9952455,71.6,13.87915,-1.5625,0.445851,0,0,0.2975159,0
4.104,24.70588,9.411765,62.6,29.8254,36.47059,977.4463,186.8,701,74.5098,484.4261,0.9952455,71.6,11.81204,-1.5625,0.433944,0,0,0.2895704,0
5.383,18.43137,12.15686,62.6,29.8254,30.98039,885.903,186.8,678.5,74.5098,449.617,0.9952455,71.6,11.51674,-1.5625,0.308259,0,0,0.2057009,0
6.832,18.82353,12.15686,62.6,29.8254,31.37255,885.903,186.8,658.5,74.5098,449.617,0.9952455,71.6,11.81204,-1.5625,0.31752,0,0,0.2118808,0
7.837,18.43137,12.15686,62.6,29.8254,30.58824,885.903,186.8,647.25,74.5098,449.617,0.9952455,71.6,11.51674,-1.5625,0.33075,0,0,0.2207091,0
9,18.03922,12.15686,62.6,29.8254,31.37255,885.903,186.8,582.75,74.5098,429.3117,0.9952455,71.6,11.81204,-1.5625,0.31752,0,0,0.2118808,0
10.068,18.43137,11.76471,62.6,29.8254,32.54902,888.856,186.8,561.25,74.5098,449.617,0.9952455,73.4,12.10734,-1.5625,0.297675,0,0,0.1986382,0
10.865,18.43137,10.58823,62.6,29.8254,32.15686,885.903,186.8,557.5,74.5098,429.3117,0.9952455,73.4,12.10734,-1.5625,0.298998,0,0,0.199521,0
11.976,18.43137,11.76471,62.6,29.8254,32.54902,885.903,186.8,552.25,74.5098,429.3117,0.9952455,73.4,12.40264,-1.5625,0.289737,0,0,0.1933412,0
12.687,18.82353,11.76471,62.6,29.8254,33.33333,897.715,186.8,547.25,74.5098,433.6628,0.9952455,73.4,12.40264,-1.5625,0.297675,0,0,0.1986382,0
13.86,23.52941,12.94118,62.6,29.8254,43.92157,1299.324,186.8,703.5,74.5098,642.5172,0.9952455,73.4,15.94625,4.6875,0.464373,0,0,0.3098756,0
14.608,25.4902,12.94118,62.6,29.8254,38.43137,1284.559,186.8,753.75,74.5098,657.0209,0.9952455,73.4,15.35565,4.6875,0.402192,0,0,0.2683823,0
15.836,26.66667,13.72549,62.6,29.8254,43.52941,1216.64,186.8,762.25,74.5098,562.7464,0.9952455,73.4,15.35565,-1.5625,0.510678,0,0,0.3407749,0
16.8,29.80392,13.33333,62.6,29.8254,47.45098,1396.774,186.8,713.25,74.5098,697.6315,0.9952455,73.4,15.35565,-1.5625,0.636363,0,0,0.4246444,0
17.942,32.54902,19.21569,62.6,29.8254,52.94118,1963.752,186.8,1049,74.5098,979.0047,0.9932325,73.4,24.80528,4.6875,1.103382,0,0,0.7362857,0
18.943,42.7451,24.31373,62.6,29.8254,49.41177,2040.53,186.8,1420.25,74.5098,944.1957,0.991494,73.4,18.30866,4.6875,1.341522,3.728227,3.724502498,0.8970106,4.15628
20.116,22.35294,9.411765,62.6,29.8254,23.13725,885.903,186.8,772.75,74.5098,453.9681,0.994056,73.4,14.17445,-1.5625,0.104517,6.213712,2.118913043,0.07000797,88.7572
21.256,32.15686,13.72549,62.6,29.8254,50.98039,2338.784,186.8,1342.75,74.5098,1292.286,0.993202,73.4,28.9395,-1.5625,1.047816,3.106856,-2.725312281,0.7000432,4.438092
22.468,72.15686,34.5098,62.6,29.8254,90.98039,4146.026,186.8,1996.75,46.66667,2213.276,0.992348,71.6,26.87239,10.9375,3.01644,0.6213712,-2.050730033,2.017009,0.3080657
23.222,74.90196,30.98039,62.6,29.8254,81.56863,4385.22,186.8,2418,46.66667,2045.032,0.9818865,71.6,25.39589,10.9375,4.170096,9.941939,12.36149576,2.790826,3.562365
24.248,53.72549,28.62745,62.6,29.8254,55.29412,3434.351,186.8,3120,46.66667,1604.117,0.9825575,71.6,23.03348,10.9375,3.774519,14.29154,4.239377193,2.553001,5.597936
25.081,49.41177,27.05882,62.6,29.8254,57.2549,3059.318,186.8,2215.5,46.66667,1401.065,0.98942,71.6,27.46299,10.9375,4.013982,18.64114,5.221608643,2.713115,6.870751
