Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
0,0,0,0,30.1207,32.54902,888.856,186.8,564.75,87.05882,443.8155,0,86,12.40264,5.46875,0,0,0,0,0
1.451,18.82353,11.76471,80.6,30.1207,32.15686,885.903,186.8,562.75,87.05882,429.3117,0.9952455,86,12.10734,5.46875,0.275184,0,0,0.18363,0
2.51,18.43137,11.76471,80.6,30.1207,31.76471,885.903,186.8,564.75,87.05882,424.9606,0.9952455,86,12.10734,5.46875,0.263277,0,0,0.1756845,0
3.962,18.43137,11.76471,80.6,29.8254,32.15686,885.903,186.8,561.25,87.05882,439.4644,0.9952455,86,12.40264,5.46875,0.244755,0,0,0.1633248,0
5.059,18.82353,11.76471,80.6,30.1207,32.15686,888.856,186.8,568.75,87.05882,449.617,0.9952455,86,12.40264,5.46875,0.25137,0,0,0.1677389,0
6.326,18.82353,11.76471,80.6,29.8254,32.54902,894.762,186.8,557.75,87.05882,453.9681,0.9952455,87.8,14.17445,5.46875,0.252693,0,0,0.1686218,0
7.359,28.23529,10.19608,80.6,29.8254,43.13726,1305.23,186.8,832.75,87.05882,726.639,0.9951845,87.8,18.89926,5.46875,0.453789,0,0,0.3028129,0
8.718,35.68628,19.21569,80.6,29.8254,45.4902,1842.678,186.8,1280.75,87.05882,910.837,0.991372,87.8,27.46299,8.59375,1.049139,1.242742,0.914453274,0.7001323,1.775011
9.887,41.96078,23.52941,80.6,29.8254,56.86274,2672.474,186.8,1888.25,87.05882,1475.034,0.991067,87.8,27.16769,8.59375,1.48176,5.592341,3.720786142,0.9926403,5.633804
11.064,47.84314,26.66667,80.6,30.1207,53.33333,2530.729,186.8,2177,87.05882,1237.172,0.9916465,84.2,27.16769,8.59375,2.501793,9.941939,3.695495327,1.676483,5.930237
11.772,60.39216,25.4902,80.6,29.8254,66.27451,2879.185,186.8,1547.5,87.05882,1327.095,0.9915245,84.2,26.57709,8.59375,2.471364,13.04879,4.388207627,1.655124,7.883878
13.495,23.13725,9.411765,80.6,29.8254,12.54902,885.903,186.8,1219.75,93.33334,429.3117,0.9928055,84.2,7.677826,5.46875,1.649781,14.91291,1.081903656,1.105029,13.4955
14.801,11.37255,16.47059,80.6,30.1207,31.76471,933.1512,186.8,737.5,93.33334,439.4644,0.9954285,84.2,12.10734,5.46875,0.220941,11.80605,-2.378912711,0.147796,79.88071
16.423,17.64706,10.19608,80.6,30.1207,26.27451,885.903,186.8,672,93.33334,429.3117,0.996008,86,13.87915,8.59375,0.3969,8.077826,-2.298535142,0.2648023,30.50512
17.63,42.35294,22.7451,80.6,30.1207,49.41177,2634.085,186.8,1645,93.33334,1564.957,0.9921345,86,27.46299,8.59375,2.188242,6.835083,-1.02961309,1.459094,4.684472
18.69,62.7451,30.19608,80.6,30.1207,71.76471,3667.638,186.8,1921.75,93.33334,1931.903,0.9912195,86,27.46299,7.8125,2.892078,9.320568,2.34479717,1.935932,4.814512
19.992,62.7451,28.62745,80.6,30.1207,70.58823,3638.108,186.8,1869,93.33334,1831.827,0.991311,86,26.57709,7.8125,3.205629,13.67017,3.340708141,2.147801,6.364726
21.703,56.07843,27.05882,80.6,30.1207,34.11765,1692.075,186.8,1929.5,93.33334,765.7993,0.991311,82.4,15.94625,8.59375,2.775654,18.01976,2.542133255,1.859542,9.69043
22.598,20,10.98039,80.6,30.1207,18.82353,885.903,186.8,1455,93.33334,443.8155,0.9935985,82.4,6.496622,8.59375,0.281799,21.12662,3.471351955,0.1887905,111.9051
23.361,9.019608,11.76471,80.6,30.1207,13.33333,885.903,186.8,1333.25,93.33334,453.9681,1.000003,82.4,5.315418,5.46875,0.301644,20.50525,-0.814377457,0.2016204,101.7023
24.094,10.19608,10.98039,80.6,30.1207,12.54902,885.903,186.8,1187.75,93.33334,464.1208,1.000003,82.4,5.610719,5.46875,0.207711,18.64114,-2.543124147,0.1379459,135.1337
25.251,10.19608,11.37255,80.6,30.1207,13.33333,885.903,188.6,1119.75,93.33334,468.4719,1.000003,84.2,5.610719,5.46875,0.203742,17.39839,-1.074114088,0.1353099,128.5818
26.723,10.58823,10.98039,80.6,30.1207,14.90196,885.903,188.6,938.75,93.33334,478.6245,1.000003,84.2,5.90602,5.46875,0.187866,14.91291,-1.688505435,0.1247663,119.5267
27.519,12.54902,12.15686,80.6,30.1207,18.82353,885.903,188.6,877.75,93.33334,429.3117,0.905179,84.2,10.33554,8.59375,0.783216,13.04879,-2.341859296,0.5201525,25.08648
28.878,19.60784,16.86275,80.6,29.8254,40,1500.129,188.6,958,93.33334,741.1428,0.90524,84.2,20.37577,8.59375,0.604611,12.42742,-0.457225901,0.4436007,28.01489
30.205,34.90196,18.03922,80.6,30.1207,49.01961,1928.316,188.6,1121,93.33334,1023.966,0.9021595,84.2,28.05359,7.8125,0.941976,12.42742,0,0.6910775,17.98268
31.17,67.45098,26.66667,80.6,29.8254,72.94118,2746.299,188.6,1375.75,93.33334,1173.355,0.903227,84.2,17.12746,7.8125,2.627478,14.29154,1.93173057,1.934223,7.388776
32.175,21.96078,9.411765,80.6,30.1207,12.54902,885.903,188.6,1122,93.33334,771.6008,1.000003,84.2,6.791923,5.46875,0.083349,16.77702,2.473114428,0.061285,273.7542
32.919,10.58823,10.98039,80.6,30.1207,14.5098,885.903,188.6,942.75,93.33334,781.7534,1.000003,84.2,6.201321,5.46875,0.201096,15.53428,-1.670349462,0.1335527,116.3158
33.763,11.37255,16.47059,80.6,30.1207,24.70588,885.903,188.6,788.25,93.33334,587.4028,1.000003,84.2,10.33554,5.46875,0.160083,12.42742,-3.681113744,0.106315,116.8925
34.506,20,14.5098,80.6,30.1207,36.86274,1089.661,188.6,691,93.33334,523.5862,0.9056365,84.2,11.81204,5.46875,0.468342,8.699197,-5.01779677,0.3110372,27.96835
35.487,18.82353,12.54902,80.6,30.1207,30.98039,903.621,188.6,666.5,74.5098,498.9298,0.9056365,84.2,14.46975,5.46875,0.302967,6.213712,-2.533623853,0.2221734,27.96785
36.25,24.31373,12.94118,80.6,30.1207,41.96078,1213.687,188.6,648.25,74.5098,628.0134,0.905606,84.2,15.35565,5.46875,0.402192,4.97097,-1.628757536,0.2949376,16.85431
37.106,25.09804,12.94118,80.6,30.1207,40.78431,1160.533,188.6,704,74.5098,568.5479,0.905545,84.2,24.50998,8.59375,0.38367,3.106856,-2.177703271,0.2813644,11.04211
37.837,69.80392,32.15686,80.6,30.1207,90.19608,4113.543,188.6,1999.5,74.5098,2194.421,0.9034405,84.2,28.6442,8.59375,2.329803,3.106856,0,1.708676,1.818282
38.632,90.19608,46.27451,80.6,30.1207,98.03922,4429.515,188.6,2528.5,74.5098,2169.765,0.9926835,84.2,28.9395,7.8125,5.261571,8.077826,6.252792453,3.867823,2.088468
39.319,95.29412,68.23529,80.6,30.1207,99.21568,5362.666,188.6,3410.25,74.5098,2981.976,0.9896335,84.2,29.2348,7.8125,6.621615,14.29154,9.044707424,4.430001,3.22608
40.248,96.47059,68.23529,80.6,30.1207,70.19608,2713.816,188.6,3847.25,74.5098,1634.575,0.989603,80.6,5.90602,8.59375,10.05612,19.88388,6.019741658,6.748494,2.946417
40.968,12.54902,14.90196,80.6,30.1207,12.15686,885.903,188.6,2329,74.5098,548.2427,0.9939035,80.6,5.90602,8.59375,1.068984,22.36936,3.452055556,0.7173992,31.18119
41.773,9.803922,13.72549,80.6,30.1207,11.37255,885.903,188.6,1697.5,74.5098,424.9606,0.991128,80.6,5.315418,5.46875,0.521262,20.50525,-2.315664596,0.3483073,58.87115
42.532,10.98039,11.37255,80.6,30.1207,12.54902,885.903,188.6,1048,74.5098,453.9681,1.000003,80.6,6.791923,5.46875,0.259308,15.53428,-6.549367589,0.1737548,89.40345
43.522,10.98039,11.37255,80.6,30.1207,20.39216,885.903,188.6,716.5,93.33334,433.6628,0.90524,82.4,14.46975,8.59375,0.558306,9.941939,-5.648829293,0.3707844,26.81326
44.237,59.60784,28.23529,80.6,30.1207,87.84314,3511.129,188.6,1842.25,93.33334,2034.88,0.9027085,82.4,28.6442,8.59375,2.652615,6.835083,-4.345253147,1.946082,3.512228
45.028,87.45098,43.52941,80.6,30.1207,97.25491,4429.515,188.6,2198,93.33334,2213.276,0.9956725,82.4,29.5301,7.8125,4.623885,9.320568,3.142206068,3.401811,2.739884
45.739,91.37255,52.54902,80.6,30.1207,98.82353,4429.515,188.6,2339,93.33334,2208.925,0.99125,82.4,29.2348,7.8125,5.87412,13.67017,6.117583685,3.918113,3.488967
