Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
29.41,21.56863,12.54902,87.8,29.8254,36.07843,1036.506,201.2,753.5,67.45098,527.9374,1.016168,102.2,13.28854,7.8125,0.34398,0,0,0.2248046,0
30.664,21.96078,12.54902,87.8,29.8254,36.07843,1039.459,201.2,752,67.45098,519.2351,1.016199,102.2,13.58385,7.8125,0.362502,0,0,0.2369165,0
32.33,21.56863,12.54902,87.8,29.8254,36.07843,1027.647,201.2,758.25,67.45098,498.9298,1.01623,102.2,13.28854,7.8125,0.34398,0,0,0.2248046,0
33.316,21.96078,12.54902,87.8,29.8254,36.07843,1039.459,201.2,765.5,67.45098,523.5862,1.016199,102.2,13.28854,7.8125,0.340011,0,0,0.222204,0
34.229,21.96078,12.54902,87.8,29.8254,35.68628,1036.506,201.2,771,67.45098,498.9298,1.016138,102.2,13.28854,7.8125,0.367794,0,0,0.2403679,0
36.936,21.96078,12.54902,87.8,29.8254,35.68628,1051.272,201.2,787,67.45098,513.4336,1.016077,102.2,13.58385,7.8125,0.349272,0,0,0.2282768,0
37.739,22.35294,12.54902,87.8,29.8254,36.07843,1057.178,201.2,777,67.45098,527.9374,1.015985,102.2,13.58385,7.8125,0.359856,0,0,0.2352084,0
38.443,22.35294,12.54902,87.8,29.8254,36.47059,1066.037,201.2,781,67.45098,538.09,1.016077,102.2,13.58385,7.8125,0.362502,0,0,0.2369592,0
40.224,20.78431,13.33333,87.8,29.8254,40.39216,1128.05,201.2,666.25,67.45098,552.5938,1.016016,102.2,14.46975,7.8125,0.259308,0,0,0.1694884,0
41.851,22.7451,12.15686,87.8,29.8254,39.60784,1089.661,201.2,652.75,67.45098,548.2427,1.016077,102.2,14.46975,7.8125,0.322812,0,0,0.2110084,0
42.85,23.13725,12.15686,87.8,29.8254,40.39216,1110.332,201.2,651.75,67.45098,558.3953,1.016108,102.2,14.76505,7.8125,0.313551,0,0,0.2049426,0
43.807,23.52941,12.15686,87.8,29.8254,40.78431,1122.144,201.2,650.5,67.45098,543.8915,1.016016,102.2,14.46975,7.8125,0.326781,0,0,0.2135836,0
44.819,23.52941,12.15686,87.8,29.8254,40.78431,1116.238,203,651,67.84314,562.7464,1.016047,102.2,14.17445,7.8125,0.333396,0,0,0.2179267,0
46.061,23.52941,12.15686,87.8,29.8254,40.39216,1107.379,203,657.5,67.84314,533.7389,1.016047,102.2,14.76505,7.8125,0.332073,0,0,0.2170554,0
47.203,23.52941,12.15686,87.8,29.8254,40.39216,1116.238,203,658,67.84314,538.09,1.016077,102.2,14.17445,7.8125,0.340011,0,0,0.222244,0
48.424,23.13725,12.15686,87.8,29.8254,40.39216,1104.426,203,644.5,67.84314,552.5938,1.016047,102.2,14.17445,7.8125,0.333396,0,0,0.2179137,0
49.521,23.52941,12.15686,87.8,29.8254,40.39216,1104.426,203,648,67.84314,548.2427,1.016047,102.2,14.46975,7.8125,0.328104,0,0,0.2144611,0
50.26,23.52941,12.15686,87.8,29.8254,40.39216,1107.379,203,658,67.84314,548.2427,1.016047,102.2,14.76505,7.8125,0.321489,0,0,0.2101373,0
51.039,23.52941,12.15686,87.8,29.8254,40.39216,1116.238,203,655.75,67.84314,538.09,1.016047,102.2,14.17445,7.8125,0.338688,0,0,0.2213793,0
51.963,23.52941,12.15686,87.8,29.8254,40.39216,1107.379,203,657.75,67.84314,538.09,1.016047,102.2,14.46975,7.8125,0.31752,0,0,0.207543,0
53.104,23.52941,12.15686,87.8,29.8254,40.78431,1113.285,203,652.25,67.84314,558.3953,1.015985,102.2,14.46975,7.8125,0.334719,0,0,0.218785,0
53.807,23.52941,12.15686,87.8,29.8254,40.78431,1116.238,203,655.25,67.84314,538.09,1.016016,102.2,14.46975,7.8125,0.338688,0,0,0.2213925,0
54.652,23.52941,12.15686,87.8,29.8254,40.39216,1113.285,203,645.25,67.45098,558.3953,1.016016,102.2,14.46975,7.8125,0.312228,0,0,0.2040901,0
56.213,23.92157,12.15686,87.8,29.8254,41.17647,1122.144,203,654.5,67.45098,562.7464,1.016077,102.2,14.76505,7.8125,0.342657,0,0,0.2239803,0
57.393,23.52941,12.15686,87.8,29.8254,40.39216,1110.332,203,653,67.45098,543.8915,1.016077,102.2,14.17445,7.8125,0.329427,0,0,0.2153194,0
58.113,23.52941,12.15686,87.8,29.8254,40.39216,1113.285,203,658,67.45098,538.09,1.016077,102.2,14.46975,7.8125,0.342657,0,0,0.2239668,0
58.899,23.13725,12.15686,87.8,29.8254,40.39216,1113.285,203,655.5,67.45098,558.3953,1.016016,102.2,14.46975,7.8125,0.321489,0,0,0.210131,0
60.3,23.52941,12.15686,87.8,29.8254,40.78431,1119.191,203,658.5,67.45098,562.7464,1.016077,102.2,14.46975,7.8125,0.313551,0,0,0.2049549,0
61.394,23.52941,12.15686,87.8,29.8254,40.39216,1113.285,203,659.5,67.45098,562.7464,1.016016,102.2,14.46975,7.8125,0.334719,0,0,0.2187784,0
62.505,23.13725,12.54902,87.8,29.8254,40,1107.379,203,656,67.45098,533.7389,0.9952455,102.2,14.17445,7.8125,0.340011,0,0,0.2222507,0
63.821,23.13725,12.54902,87.8,29.8254,40,1101.473,203,666.75,67.45098,552.5938,0.9952455,102.2,14.46975,3.90625,0.334719,0,0,0.2233576,0
64.575,23.13725,12.15686,87.8,29.8254,40,1098.52,203,653,67.45098,527.9374,0.9952455,102.2,14.17445,3.90625,0.353241,0,0,0.2357174,0
65.592,23.13725,12.15686,87.8,29.8254,40,1086.708,204.8,637,67.45098,523.5862,0.9952455,102.2,14.17445,3.90625,0.334719,0,0,0.2233576,0
66.653,23.13725,12.15686,87.8,29.8254,40.39216,1095.567,204.8,616.5,67.45098,533.7389,0.9952455,102.2,14.17445,3.90625,0.318843,0,0,0.2127636,0
67.486,23.13725,12.54902,87.8,29.8254,41.17647,1119.191,204.8,602.75,67.45098,558.3953,0.9952455,102.2,14.46975,3.90625,0.322812,0,0,0.2154121,0
68.341,23.13725,12.15686,87.8,29.8254,41.96078,1101.473,204.8,581.75,67.45098,533.7389,0.9952455,102.2,14.76505,3.90625,0.297675,0,0,0.1986382,0
69.228,23.52941,12.15686,87.8,29.8254,43.13726,1107.379,204.8,561.75,67.45098,558.3953,0.9952455,102.2,14.76505,3.90625,0.332073,0,0,0.221592,0
69.97,23.13725,11.76471,87.8,29.8254,42.7451,1092.614,204.8,554,67.45098,552.5938,0.9952455,102.2,14.76505,3.90625,0.280476,0,0,0.1871613,0
70.836,22.7451,12.15686,87.8,29.8254,42.7451,1092.614,204.8,559.5,67.45098,548.2427,0.9952455,102.2,14.46975,3.90625,0.269892,0,0,0.1800987,0
71.576,22.7451,11.76471,87.8,29.8254,42.35294,1083.755,204.8,564.5,67.45098,548.2427,0.9952455,102.2,14.76505,3.90625,0.27783,0,0,0.1853957,0
72.885,22.7451,11.76471,87.8,29.8254,42.7451,1080.802,204.8,567.25,67.45098,543.8915,0.9952455,102.2,14.46975,3.90625,0.284445,0,0,0.1898099,0
73.885,22.7451,11.76471,87.8,29.8254,42.7451,1077.849,204.8,549.25,67.45098,543.8915,0.9952455,102.2,14.17445,3.90625,0.27783,0,0,0.1853957,0
75.126,22.7451,11.76471,87.8,29.8254,42.35294,1077.849,204.8,559.75,67.45098,538.09,0.9952455,102.2,14.76505,3.90625,0.29106,0,0,0.194224,0
76.139,22.7451,11.76471,87.8,29.8254,42.35294,1077.849,204.8,558.75,67.45098,519.2351,0.9952455,102.2,14.46975,3.90625,0.295029,0,0,0.1968725,0
77.471,22.7451,11.76471,87.8,29.8254,42.35294,1071.943,204.8,549.25,67.45098,519.2351,0.9952455,104,14.76505,3.90625,0.2646,0,0,0.1765673,0
79.218,23.13725,11.76471,87.8,29.8254,42.7451,1077.849,204.8,558.75,67.45098,543.8915,0.9952455,104,14.17445,3.90625,0.301644,0,0,0.2012867,0
80.051,22.35294,11.76471,87.8,29.8254,41.56863,1068.99,204.8,557.75,67.45098,513.4336,0.9952455,104,14.46975,3.90625,0.292383,0,0,0.1951069,0
80.817,22.35294,11.76471,87.8,29.8254,41.96078,1063.084,204.8,554.75,67.45098,533.7389,0.9952455,104,14.46975,3.90625,0.269892,0,0,0.1800987,0
81.717,22.7451,11.76471,87.8,29.8254,41.56863,1066.037,204.8,549.75,67.45098,513.4336,0.9952455,104,14.46975,3.90625,0.272538,0,0,0.1818643,0
82.401,22.35294,11.76471,87.8,29.8254,41.96078,1066.037,204.8,560.75,67.45098,538.09,0.9952455,104,14.17445,3.90625,0.269892,0,0,0.1800987,0
84.55,22.35294,11.76471,87.8,29.8254,41.96078,1080.802,204.8,560.75,67.45098,523.5862,0.9952455,104,14.17445,3.90625,0.267246,0,0,0.178333,0
85.301,22.7451,11.76471,87.8,29.8254,41.56863,1071.943,204.8,557.5,67.45098,523.5862,0.9952455,104,14.17445,3.90625,0.297675,0,0,0.1986382,0
86.299,22.7451,11.76471,87.8,29.8254,41.96078,1066.037,197.6,546,67.45098,513.4336,0.9952455,104,14.17445,3.90625,0.273861,0,0,0.1827472,0
87.905,22.35294,11.76471,87.8,29.8254,42.35294,1086.708,197.6,547.25,67.45098,543.8915,0.9952455,104,14.46975,3.90625,0.275184,0,0,0.18363,0
89.558,22.7451,11.76471,87.8,29.8254,41.56863,1071.943,197.6,550.75,67.45098,538.09,0.9952455,104,14.17445,3.90625,0.27783,0,0,0.1853957,0
91.158,22.7451,11.76471,87.8,29.8254,41.96078,1083.755,197.6,565.5,67.45098,543.8915,0.9952455,104,14.46975,3.90625,0.297675,0,0,0.1986382,0
92.366,22.7451,11.76471,87.8,29.8254,41.96078,1060.131,197.6,562,67.45098,533.7389,0.9952455,104,14.46975,3.90625,0.27783,0,0,0.1853957,0
